date,runoff
2022/7/6 19:10,4317.037037
2022/7/6 19:15,4320
2022/7/6 19:20,4322.962963
2022/7/6 19:25,4325.925926
2022/7/6 19:30,4328.888889
2022/7/6 19:35,4331.851852
2022/7/6 19:40,4334.814815
2022/7/6 19:45,4337.777778
2022/7/6 19:50,4340.740741
2022/7/6 19:55,4343.703704
2022/7/6 20:00,4346.666667
2022/7/6 20:05,4349.62963
2022/7/6 20:10,4352.592593
2022/7/6 20:15,4355.555556
2022/7/6 20:20,4358.518519
2022/7/6 20:25,4361.481481
2022/7/6 20:30,4364.444444
2022/7/6 20:35,4367.407407
2022/7/6 20:40,4370.37037
2022/7/6 20:45,4373.333333
2022/7/6 20:50,4376.296296
2022/7/6 20:55,4379.259259
2022/7/6 21:00,4382.222222
2022/7/6 21:05,4385.185185
2022/7/6 21:10,4388.148148
2022/7/6 21:15,4391.111111
2022/7/6 21:20,4394.074074
2022/7/6 21:25,4397.037037
2022/7/6 21:30,4400
2022/7/6 21:35,4402.962963
2022/7/6 21:40,4405.925926
2022/7/6 21:45,4408.888889
2022/7/6 21:50,4411.851852
2022/7/6 21:55,4414.814815
2022/7/6 22:00,4417.777778
2022/7/6 22:05,4420.740741
2022/7/6 22:10,4423.703704
2022/7/6 22:15,4426.666667
2022/7/6 22:20,4429.62963
2022/7/6 22:25,4432.592593
2022/7/6 22:30,4435.555556
2022/7/6 22:35,4438.518519
2022/7/6 22:40,4441.481481
2022/7/6 22:45,4444.444444
2022/7/6 22:50,4447.407407
2022/7/6 22:55,4450.37037
2022/7/6 23:00,4453.333333
2022/7/6 23:05,4456.296296
2022/7/6 23:10,4459.259259
2022/7/6 23:15,4462.222222
2022/7/6 23:20,4465.185185
2022/7/6 23:25,4468.148148
2022/7/6 23:30,4471.111111
2022/7/6 23:35,4474.074074
2022/7/6 23:40,4477.037037
2022/7/6 23:45,4240
2022/7/6 23:50,4240
2022/7/6 23:55,4240
2022/7/7 0:00,4240
2022/7/7 0:05,4238.333333
2022/7/7 0:10,4236.666667
2022/7/7 0:15,4235
2022/7/7 0:20,4233.333333
2022/7/7 0:25,4231.666667
2022/7/7 0:30,4230
2022/7/7 0:35,4228.333333
2022/7/7 0:40,4226.666667
2022/7/7 0:45,4225
2022/7/7 0:50,4223.333333
2022/7/7 0:55,4221.666667
2022/7/7 1:00,4220
2022/7/7 1:05,4218.333333
2022/7/7 1:10,4216.666667
2022/7/7 1:15,4215
2022/7/7 1:20,4213.333333
2022/7/7 1:25,4211.666667
2022/7/7 1:30,4210
2022/7/7 1:35,4208.333333
2022/7/7 1:40,4206.666667
2022/7/7 1:45,4205
2022/7/7 1:50,4203.333333
2022/7/7 1:55,4201.666667
2022/7/7 2:00,4200
2022/7/7 2:05,4199.166667
2022/7/7 2:10,4198.333333
2022/7/7 2:15,4197.5
2022/7/7 2:20,4196.666667
2022/7/7 2:25,4195.833333
2022/7/7 2:30,4195
2022/7/7 2:35,4194.166667
2022/7/7 2:40,4193.333333
2022/7/7 2:45,4192.5
2022/7/7 2:50,4191.666667
2022/7/7 2:55,4190.833333
2022/7/7 3:00,4190
2022/7/7 3:05,4189.166667
2022/7/7 3:10,4188.333333
2022/7/7 3:15,4187.5
2022/7/7 3:20,4186.666667
2022/7/7 3:25,4185.833333
2022/7/7 3:30,4185
2022/7/7 3:35,4184.166667
2022/7/7 3:40,4183.333333
2022/7/7 3:45,4182.5
2022/7/7 3:50,4181.666667
2022/7/7 3:55,4180.833333
2022/7/7 4:00,4180
2022/7/7 4:05,4179.166667
2022/7/7 4:10,4178.333333
2022/7/7 4:15,4177.5
2022/7/7 4:20,4176.666667
2022/7/7 4:25,4175.833333
2022/7/7 4:30,4175
2022/7/7 4:35,4174.166667
2022/7/7 4:40,4173.333333
2022/7/7 4:45,4172.5
2022/7/7 4:50,4171.666667
2022/7/7 4:55,4170.833333
2022/7/7 5:00,4170
2022/7/7 5:05,4169.444444
2022/7/7 5:10,4168.888889
2022/7/7 5:15,4168.333333
2022/7/7 5:20,4167.777778
2022/7/7 5:25,4167.222222
2022/7/7 5:30,4166.666667
2022/7/7 5:35,4166.111111
2022/7/7 5:40,4165.555556
2022/7/7 5:45,4165
2022/7/7 5:50,4164.444444
2022/7/7 5:55,4163.888889
2022/7/7 6:00,4163.333333
2022/7/7 6:05,4162.777778
2022/7/7 6:10,4162.222222
2022/7/7 6:15,4161.666667
2022/7/7 6:20,4161.111111
2022/7/7 6:25,4160.555556
2022/7/7 6:30,4160
2022/7/7 6:35,4159.444444
2022/7/7 6:40,4158.888889
2022/7/7 6:45,4158.333333
2022/7/7 6:50,4157.777778
2022/7/7 6:55,4157.222222
2022/7/7 7:00,4156.666667
2022/7/7 7:05,4156.111111
2022/7/7 7:10,4155.555556
2022/7/7 7:15,4155
2022/7/7 7:20,4154.444444
2022/7/7 7:25,4153.888889
2022/7/7 7:30,4153.333333
2022/7/7 7:35,4152.777778
2022/7/7 7:40,4152.222222
2022/7/7 7:45,4151.666667
2022/7/7 7:50,4151.111111
2022/7/7 7:55,4150.555556
2022/7/7 8:00,4150
2022/7/7 8:05,4176.666667
2022/7/7 8:10,4203.333333
2022/7/7 8:15,4230
2022/7/7 8:20,4256.666667
2022/7/7 8:25,4283.333333
2022/7/7 8:30,4310
2022/7/7 8:35,4313.787879
2022/7/7 8:40,4317.575758
2022/7/7 8:45,4321.363636
2022/7/7 8:50,4325.151515
2022/7/7 8:55,4328.939394
2022/7/7 9:00,4332.727273
2022/7/7 9:05,4336.515152
2022/7/7 9:10,4340.30303
2022/7/7 9:15,4344.090909
2022/7/7 9:20,4347.878788
2022/7/7 9:25,4351.666667
2022/7/7 9:30,4355.454545
2022/7/7 9:35,4359.242424
2022/7/7 9:40,4363.030303
2022/7/7 9:45,4366.818182
2022/7/7 9:50,4370.606061
2022/7/7 9:55,4374.393939
2022/7/7 10:00,4378.181818
2022/7/7 10:05,4381.969697
2022/7/7 10:10,4385.757576
2022/7/7 10:15,4389.545455
2022/7/7 10:20,4393.333333
2022/7/7 10:25,4397.121212
2022/7/7 10:30,4400.909091
2022/7/7 10:35,4404.69697
2022/7/7 10:40,4408.484848
2022/7/7 10:45,4412.272727
2022/7/7 10:50,4416.060606
2022/7/7 10:55,4419.848485
2022/7/7 11:00,4423.636364
2022/7/7 11:05,4427.424242
2022/7/7 11:10,4431.212121
2022/7/7 11:15,4435
2022/7/7 11:20,4438.787879
2022/7/7 11:25,4442.575758
2022/7/7 11:30,4446.363636
2022/7/7 11:35,4450.151515
2022/7/7 11:40,4453.939394
2022/7/7 11:45,4457.727273
2022/7/7 11:50,4461.515152
2022/7/7 11:55,4465.30303
2022/7/7 12:00,4469.090909
2022/7/7 12:05,4472.878788
2022/7/7 12:10,4476.666667
2022/7/7 12:15,4480.454545
2022/7/7 12:20,4484.242424
2022/7/7 12:25,4488.030303
2022/7/7 12:30,4491.818182
